관광지,url,촬영장소,검색 키워드
간월재의 여름,http://tong.visitkorea.or.kr/cms2/website/83/1961683.jpg,울산광역시,"2014 제42회 대한민국 관광사진 공모전,입선,간월재의 여름,간월재,여름,울산,울산시,울산광역시"
간절곶,http://tong.visitkorea.or.kr/cms2/website/28/2651928.jpg,울산광역시 울주군 서생면,"간절곶 소망우체통,울산광역시 울주군,해돋이 명소,일출 명소,울산바다,간절곶 소망우체통"
갈낙탕,http://tong.visitkorea.or.kr/cms2/website/28/1013928.jpg,전라남도 영암,갈낙탕
갈대숲 길따라,http://tong.visitkorea.or.kr/cms2/website/32/1961932.jpg,서울특별시,"2014 제42회 대한민국 관광사진 공모전,입선,안양천시민공원,안양천,공원,서울"
갈두항,http://tong.visitkorea.or.kr/cms2/website/77/983977.jpg,전남 해남,"갈두항,땅끝마을,갈두항방파제등대"
갈두항방파제등대,http://tong.visitkorea.or.kr/cms2/website/73/2728773.jpg,전라남도 해남군 송지면,"갈두항방파제등대,전라남도 해남군"
갈천동 초가 까치구멍집,http://tong.visitkorea.or.kr/cms2/website/14/2648614.jpg,경상북도 영덕군 창수면,"갈천동 초가 까지구멍집,경상북도 영덕군,초가집"
갈치국,http://tong.visitkorea.or.kr/cms2/website/54/1805754.jpg,제주도 제주시,"제주도,갈치국"
감곡매괴성모순례지성당,http://tong.visitkorea.or.kr/cms2/website/83/2007183.jpg,충청북도 음성,"감곡매괴성모순례지성당,음성 감곡매괴성모순례지성당,감곡성당,매괴성당,성당,음성"
감금실_소록도공원,http://tong.visitkorea.or.kr/cms2/website/47/1682347.jpg,전라남도 고흥,"소록도,섬,소록도공원,구 소록도갱생원,감금실"
감나무잎 피어나는 낙안읍성,http://tong.visitkorea.or.kr/cms2/website/70/2563770.jpg,전라남도 순천시 낙안면,"2018 제46회 대한민국 관광사진 공모전,입선,감나무잎 피어나는 낙안읍성,전라남도 순천시,낙안읍성민속마을 야경,낙안읍성 야경,사적 제302호,낙안민속마을 야경,전통마을,초가집"
감성마을 이외수 문학관,http://tong.visitkorea.or.kr/cms2/website/31/2594231.jpg,강원도 화천군 상서면,"감성마을 이외수 문학관,강원도 화천군,DMZ 관광,DMZ 투어,안보관광지"
감악산 출렁다리,http://tong.visitkorea.or.kr/cms2/website/22/2593722.jpg,경기도 파주시 적성면,"감악산 출렁다리,경기도 파주시,DMZ 관광,DMZ 투어,안보관광지,산악 현수교"
